code,name,market,board,asset_type,org_type,sector,index_membership
002709,天赐材料,sz,main,stock,,电池,hs300
002714,牧原股份,sz,main,stock,,养殖业,hs300
002736,国信证券,sz,main,stock,,证券Ⅱ,hs300
002738,中矿资源,sz,main,stock,,能源金属,csi500
002739,儒意电影,sz,main,stock,,影视院线,csi500
002756,永兴材料,sz,main,stock,,能源金属,csi500
002773,康弘药业,sz,main,stock,,生物制品,csi500
002797,第一创业,sz,main,stock,,证券Ⅱ,csi500
002812,恩捷股份,sz,main,stock,,电池,csi500
002821,凯莱英,sz,main,stock,,医疗服务,csi500
002831,裕同科技,sz,main,stock,,包装印刷,csi500
002837,英维克,sz,main,stock,,专用设备,hs300
002841,视源股份,sz,main,stock,,消费电子,csi500
002850,科达利,sz,main,stock,,电池,csi500
002851,麦格米特,sz,main,stock,,其他电源设备Ⅱ,csi500
002916,深南电路,sz,main,stock,,元件,hs300
002920,德赛西威,sz,main,stock,,汽车零部件,hs300
002926,华西证券,sz,main,stock,,证券Ⅱ,csi500
002938,鹏鼎控股,sz,main,stock,,元件,hs300
002939,长城证券,sz,main,stock,,证券Ⅱ,csi500
002945,华林证券,sz,main,stock,,证券Ⅱ,csi500
002966,苏州银行,sz,main,stock,,银行Ⅱ,csi500
002984,森麒麟,sz,main,stock,,汽车零部件,csi500
003021,兆威机电,sz,main,stock,,电机Ⅱ,csi500
003022,联泓新科,sz,main,stock,,光伏设备,csi500
003031,中瓷电子,sz,main,stock,,通信设备,csi500
003035,南网能源,sz,main,stock,,电力,csi500
003816,中国广核,sz,main,stock,,电力,hs300
300001,特锐德,sz,gem,stock,,电网设备,csi500
300002,神州泰岳,sz,gem,stock,,游戏Ⅱ,csi500
300003,乐普医疗,sz,gem,stock,,医疗器械,csi500
300012,华测检测,sz,gem,stock,,专业服务,csi500
300014,亿纬锂能,sz,gem,stock,,电池,hs300
300015,爱尔眼科,sz,gem,stock,,医疗服务,hs300
300017,网宿科技,sz,gem,stock,,IT服务Ⅱ,csi500
300024,机器人,sz,gem,stock,,自动化设备,csi500
300033,同花顺,sz,gem,stock,,软件开发,hs300
300037,新宙邦,sz,gem,stock,,电池,csi500
